polarity,z_low_mm,z_high_mm,z_center_mm,number_of_mothers,number_of_photons,c2,c2_low,c2_high,s2,s2_low,s2_high,a2,a2_low,a2_high
MUPLUS,-240000.0,-239000.0,-239500.0,1688,12338,0.003962274631074097,-0.0028182457317033655,0.010850001857221622,0.0005784982864554487,-0.006253890256478329,0.007386535669205251,0.004004282772168476,0.004515182033488844,0.013707585319343272
MUPLUS,-239000.0,-238000.0,-238500.0,1737,13090,0.0051685312943638186,-0.0018126220686827353,0.01203476636746875,-0.009422646377910352,-0.01642899352208012,-0.0031902421707349416,0.010747091723064673,0.007340440152301296,0.01948952474041344
MUPLUS,-238000.0,-237000.0,-237500.0,1814,15203,0.003527951302567676,-0.0025909355588884984,0.010442118855835058,-0.00046136060007022573,-0.008122799793141127,0.00606531780483883,0.0035579901625195816,0.004098479725832758,0.014027039340214782
MUPLUS,-237000.0,-236000.0,-236500.0,1676,11350,0.0128961668148345,0.006153812343911398,0.019378690286297285,-0.004309073582946504,-0.01243458035171106,0.00292175370457376,0.013597030325011637,0.009729658341440421,0.022116618141629397
MUPLUS,-236000.0,-235000.0,-235500.0,1785,12983,0.0020990882693748764,-0.0038956604705349695,0.008532585965370574,-2.9274945030386964e-05,-0.006859436076149406,0.006097623110168923,0.0020992924010327257,0.003949067493559382,0.012953311498039457
MUPLUS,-235000.0,-234000.0,-234500.0,1636,11929,-0.004478053524992432,-0.012441226826029217,0.0017222965857724294,-0.0017369847214615411,-0.009412244212391518,0.005071103835497322,0.004803132237955559,0.005315640301101388,0.016080363642392917
MUPLUS,-234000.0,-233000.0,-233500.0,1676,12497,0.007724567725462044,0.0018201155053107934,0.01432683908148596,-0.007835588870275243,-0.014139612364895596,-0.0021148309820598933,0.011002972302484048,0.00794748516376108,0.019150851009473467
MUPLUS,-233000.0,-232000.0,-232500.0,1695,12976,-0.001377033764443576,-0.008612004789847659,0.004885893441196926,0.001295954164177312,-0.00520986370518029,0.00690009363051519,0.001890957213705842,0.004316160925621944,0.012957146425582104
MUPLUS,-232000.0,-231000.0,-231500.0,1673,12787,-0.0030799277402053958,-0.009781268172287824,0.003990214711944431,0.008919757840877259,0.0018524775891491036,0.015225933155676115,0.009436526629262382,0.006088183251300473,0.017790100736412965
MUPLUS,-231000.0,-230000.0,-230500.0,1743,13455,-0.009070584337881889,-0.016287263170156937,-0.00182219676446,0.0018853404480546564,-0.0046190028790386185,0.008087304655503934,0.009264448652548038,0.006021309854921888,0.01842964166850523
MUPLUS,-230000.0,-229000.0,-229500.0,1660,11860,0.0025082353709367576,-0.003947223278743393,0.00892086689079319,0.01191957485813396,0.004530539908789032,0.0185594624067904,0.0121806202417889,0.007709057638148694,0.019895880520331508
MUPLUS,-229000.0,-228000.0,-228500.0,1697,11511,-0.016219048305801145,-0.02375223909667287,-0.009490484998565385,-0.00830108382297132,-0.015087871089382305,-0.0016476996275318731,0.018219920981769024,0.012832198387383788,0.026544496055793818
MUPLUS,-228000.0,-227000.0,-227500.0,1710,12472,0.004710744110219134,-0.003187853832826446,0.01162139430784572,0.001378520974966271,-0.0053340763011439215,0.007420298947294856,0.004908302165758158,0.004446203783993648,0.014485895459815273
MUPLUS,-227000.0,-226000.0,-226500.0,1683,13545,-0.002443502327854339,-0.009227867449752701,0.004215280835346213,-0.0023773660423673207,-0.009025620073897778,0.004106049538974601,0.003409189482212866,0.004411391606635835,0.013978804044473218
MUPLUS,-226000.0,-225000.0,-225500.0,1752,12346,-0.017409782890281472,-0.024458710845973692,-0.011424602248075524,-0.004169515877620773,-0.010652602897734348,0.0026708909009170024,0.01790210610348596,0.013115604980445485,0.026294724861153154
MUPLUS,-225000.0,-224000.0,-224500.0,1676,11367,0.003237289961769947,-0.003906523157268005,0.009852871433972238,0.021306138082290666,0.014223792801791495,0.029172575443012435,0.021550674381053903,0.015807369626888047,0.030125888733682257
MUPLUS,-224000.0,-223000.0,-223500.0,1707,12656,-0.0015714709389571442,-0.008856028950433664,0.0058924517661054455,-0.0007331481388139013,-0.007714441660553665,0.007303692951025165,0.0017340781716615708,0.00454613067366945,0.014307905001970902
MUPLUS,-223000.0,-222000.0,-222500.0,1754,12144,-0.005245710149173489,-0.012127999972450058,0.0026835569546477976,0.01609183789091716,0.009446871623274823,0.02358311093779846,0.016925268732776416,0.011903142935666591,0.02562720227348687
MUPLUS,-222000.0,-221000.0,-221500.0,1691,12032,0.007292889375812495,0.00012864001874998145,0.01545180223830189,0.006391114374290486,-0.0011058104889187553,0.013348614443935626,0.009697039671626658,0.006012822289940123,0.018853446863376696
MUPLUS,-221000.0,-220000.0,-220500.0,1692,11454,-0.005655853039550492,-0.012407294655238708,0.0017109554634066498,0.006906144281981841,-0.00046332594144758384,0.015295135940092746,0.008926561625202787,0.005454850864597614,0.01934238072953118
MUPLUS,-220000.0,-219000.0,-219500.0,1710,12446,-0.008475486260379148,-0.016452447392803684,-0.001625945459147529,0.0006745541645845788,-0.006093906466868221,0.007938996711122547,0.008502287378748974,0.006141578762135156,0.018691018452463865
MUPLUS,-219000.0,-218000.0,-218500.0,1733,11624,-0.0004432316103119382,-0.0067154958499013664,0.005464159114975138,0.0001916956745909898,-0.007670786915898862,0.007458683714439598,0.0004829094035495773,0.004081985970562342,0.012460194775410771
