epoch,train_loss,val_auc,seconds
0,0.6951385163068772,0.5143222222222222,173.6
1,0.6935001246929169,0.33507777777777775,172.5
2,0.6934356039762497,0.5,175.0
3,0.6932750279307366,0.5,174.2
4,0.693488953113556,0.5,173.4
5,0.6933930376172066,0.5,174.5
6,0.6934970961809158,0.5,173.6
7,0.6943237270712852,0.5,175.3
8,0.6936224458217621,0.5,173.9
9,0.6934015375971794,0.5,170.9
10,0.6935131595730781,0.5,173.7
11,0.6934576748609543,0.5,173.3
12,0.6934129615426063,0.5,172.3
13,0.6933975785374641,0.5,171.7
14,0.6934893752336502,0.5,174.2
15,0.6933933273553848,0.5,172.8
