epoch,train_loss,val_auc,seconds
0,0.6950832698047161,0.4671666666666667,267.1
1,0.6935780655145645,0.5,287.0
2,0.6935191476345062,0.5,290.9
3,0.693598247885704,0.5,287.6
4,0.6934716260433197,0.5,288.6
5,0.6936009245514869,0.5,287.2
6,0.6935683473348617,0.5,286.6
7,0.6935684203505516,0.5,287.5
8,0.693415704369545,0.5,287.7
9,0.6935138421654701,0.5,284.7
10,0.6934235075712204,0.5,285.8
11,0.6935929734706878,0.5,286.0
12,0.6933944326043129,0.5,285.3
13,0.693493358194828,0.5,282.0
14,0.6934693603515625,0.5,289.9
15,0.6934013683199882,0.5,284.3
16,0.6933666166663169,0.5,279.7
17,0.6934643462896347,0.5,280.2
18,0.6934943723678589,0.5,280.2
19,0.6931823452711106,0.5,277.6
20,0.6935039273500443,0.5,281.9
21,0.6933176801800728,0.5,282.5
