epoch,train_loss,val_auc,seconds
0,0.7028499592840671,0.008,108.4
1,0.6973508444428443,0.0,105.8
2,0.6943954947590828,0.0,105.9
3,0.6946693536639214,0.0,105.5
4,0.6938495925068855,0.0,105.4
5,0.6939382129907607,0.0,105.7
6,0.6944620525836944,0.9882,105.8
7,0.694202428162098,0.9888,105.6
8,0.6936335742473603,1.0,105.7
9,0.6936004558205604,1.0,105.6
10,0.6942815989255905,0.0,107.0
11,0.6943064883351326,1.0,104.2
12,0.6937043020129203,0.0072,104.0
13,0.6935948950052261,0.5,104.2
14,0.6940112429857254,0.0124,104.2
15,0.6941440561413765,0.5,104.4
16,0.6937378558516503,0.14,104.2
17,0.6938812038302422,0.5,104.0
18,0.6938028171658516,0.5,104.1
19,0.6939284402132034,0.5,104.1
20,0.6936401662230491,0.5,104.2
21,0.6939280015230179,0.5,109.0
22,0.6936459240317344,0.5,105.9
23,0.6938218012452125,0.5,105.8
