epoch,train_loss,val_auc,seconds
0,0.704226179420948,0.532,105.8
1,0.6953068274259567,0.452,102.7
2,0.7014171409606934,0.5692,104.4
3,0.6948729100823402,0.5632,103.4
4,0.6943078988790512,0.4782,102.5
5,0.6938731929659844,0.4564,102.7
6,0.6934533137083053,0.4502,103.3
7,0.6935129767656326,0.4496,104.5
8,0.6937329593300819,0.4528,102.5
9,0.6940084913372994,0.559,103.5
10,0.693652793765068,0.3794,105.5
11,0.6935580751299858,0.4482,100.7
12,0.7000671522319317,0.472,102.0
13,0.6964943754673004,0.432,100.8
14,0.6946415576338768,0.5354,101.2
15,0.6941906854510307,0.4416,101.3
16,0.6942114317417145,0.456,101.1
17,0.6938675737380982,0.455,101.9
