epoch,train_loss,val_auc,seconds
0,0.8016480349004269,0.5,35.2
1,0.6987226784229279,0.505,32.1
2,0.6965834781527519,0.49,30.9
3,0.6949168965220451,0.505,32.9
4,0.693878561258316,0.485,31.8
5,0.6941323056817055,0.5,33.1
6,0.6941825777292252,0.49,30.7
7,0.6938463777303696,0.49,31.1
8,0.6942326486110687,0.51,31.7
9,0.6944369062781334,0.495,32.1
10,0.695438702404499,0.5,31.4
11,0.7163245543837548,0.51,32.0
12,0.6940408140420914,0.51,32.1
13,0.6943762034177781,0.515,30.2
14,0.6934935301542282,0.515,30.8
15,0.6936730027198792,0.535,31.1
16,0.6939332351088524,0.52,31.5
17,0.693649922311306,0.51,29.7
18,0.6941331967711448,0.52,31.7
19,0.6934992656111717,0.505,31.2
20,0.6934107065200805,0.525,31.0
21,0.6936423450708389,0.52,31.5
22,0.6938104197382927,0.505,30.5
23,0.6934159889817237,0.515,29.5
24,0.6937913298606873,0.51,31.2
25,0.6936129420995713,0.505,30.1
