epoch,train_loss,val_auc,seconds
0,0.7148866862058639,0.51,34.1
1,0.6980097606778145,0.505,30.6
2,0.6952033653855324,0.53,29.4
3,0.6969762712717056,0.52,31.4
4,0.6947334110736847,0.51,30.3
5,0.694312484562397,0.535,31.5
6,0.6940627649426461,0.5,29.3
7,0.693771918118,0.475,29.5
8,0.694264306128025,0.52,30.3
9,0.693989610671997,0.515,30.7
10,0.6949544280767441,0.5,30.0
11,0.6936710566282273,0.495,30.7
12,0.6943415701389313,0.51,30.7
13,0.6941748097538948,0.505,28.9
14,0.6935723170638084,0.51,29.6
15,0.6934949964284897,0.505,29.7
